barrier_jpy,entry_time_utc,entry_price,rolling_high,gap_entry,target_price,stop_price,exit_time_utc,exit_price,result,ambiguous_exit_bar,holding_hours,pnl_jpy_per_usd
2.0,2023-05-18T08:00:00+00:00,137.915,137.915,False,135.915,139.915,2023-05-25T16:00:00+00:00,139.915,LOSS,False,176.0,-2.0
2.0,2023-05-25T18:00:00+00:00,139.964,139.964,False,137.964,141.964,2023-06-19T00:00:00+00:00,141.964,LOSS,False,582.0,-2.0
2.0,2023-06-19T09:00:00+00:00,141.973,141.973,False,139.973,143.973,2023-06-27T14:00:00+00:00,143.973,LOSS,False,197.0,-2.0
2.0,2023-06-27T15:00:00+00:00,144.08,144.08,False,142.08,146.08,2023-07-07T20:00:00+00:00,142.08,WIN,False,245.0,2.0
2.0,2023-08-14T00:00:00+00:00,145.073,145.073,False,143.073,147.073,2023-08-29T11:00:00+00:00,147.073,LOSS,False,371.0,-2.0
2.0,2023-08-29T12:00:00+00:00,147.164,147.164,False,145.164,149.164,2023-09-01T12:00:00+00:00,145.164,WIN,False,72.0,2.0
2.0,2023-09-05T12:00:00+00:00,147.378,147.378,False,145.378,149.378,2023-09-27T13:00:00+00:00,149.378,LOSS,False,529.0,-2.0
2.0,2023-09-27T14:00:00+00:00,149.398,149.398,False,147.398,151.398,2023-10-03T14:00:00+00:00,147.398,WIN,False,144.0,2.0
2.0,2023-10-25T20:00:00+00:00,150.16,150.16,False,148.16,152.16,2023-11-20T11:00:00+00:00,148.16,WIN,False,615.0,2.0
2.0,2024-03-19T16:00:00+00:00,150.888,150.888,False,148.888,152.888,2024-04-10T15:00:00+00:00,152.888,LOSS,False,527.0,-2.0
2.0,2024-04-10T16:00:00+00:00,152.944,152.944,False,150.944,154.944,2024-04-24T07:00:00+00:00,154.944,LOSS,False,327.0,-2.0
2.0,2024-04-24T12:00:00+00:00,154.973,154.973,False,152.973,156.973,2024-04-26T14:00:00+00:00,156.973,LOSS,False,50.0,-2.0
2.0,2024-04-26T15:00:00+00:00,157.312,157.312,False,155.312,159.312,2024-04-29T01:00:00+00:00,159.312,LOSS,False,58.0,-2.0
2.0,2024-06-26T10:00:00+00:00,160.233,160.233,False,158.233,162.233,2024-07-11T13:00:00+00:00,158.233,WIN,False,363.0,2.0
2.0,2024-11-06T02:00:00+00:00,153.882,153.882,False,151.882,155.882,2024-11-14T01:00:00+00:00,155.882,LOSS,False,191.0,-2.0
2.0,2024-11-14T02:00:00+00:00,155.921,155.921,False,153.921,157.921,2024-11-15T18:00:00+00:00,153.921,WIN,False,40.0,2.0
2.0,2024-12-19T07:00:00+00:00,156.751,156.751,False,154.751,158.751,2025-01-10T13:00:00+00:00,158.751,LOSS,False,534.0,-2.0
2.0,2025-07-15T13:00:00+00:00,148.654,148.654,False,146.654,150.654,2025-07-22T13:00:00+00:00,146.654,WIN,False,168.0,2.0
2.0,2025-07-30T18:00:00+00:00,149.189,149.189,False,147.189,151.189,2025-08-03T22:00:00+00:00,147.189,WIN,False,100.0,2.0
2.0,2025-10-07T11:00:00+00:00,150.918,150.918,False,148.918,152.918,2025-10-08T09:00:00+00:00,152.918,LOSS,False,22.0,-2.0
2.0,2025-10-09T06:00:00+00:00,153.003,153.003,False,151.003,155.003,2025-10-15T06:00:00+00:00,151.003,WIN,False,144.0,2.0
2.0,2025-10-30T06:00:00+00:00,153.278,153.278,False,151.278,155.278,2025-11-17T15:00:00+00:00,155.278,LOSS,False,441.0,-2.0
2.0,2025-11-18T00:00:00+00:00,155.31,155.31,False,153.31,157.31,,,OPEN,False,,
